FALCON PERFORMANCE TEST RESULTS
Test conducted on: 2025-04-13 20:04:59
Number of runs: 30

Average FFT signing time: 0.05888170s
Average ACB signing time: 0.05029448s
Average speedup: 1.17589818x
Median speedup: 1.17348136x
Minimum speedup: 0.97960427x
Maximum speedup: 1.36850091x
Standard deviation: 0.09472210

Raw data:
Run,FFT_Time,ACB_Time,Speedup
1,0.05401301,0.05001283,1.07998322
2,0.06227160,0.04701209,1.32458681
3,0.06200457,0.04901099,1.26511551
4,0.05700254,0.04908800,1.16123173
5,0.05701327,0.05401397,1.05552834
6,0.05843616,0.04601002,1.27007462
7,0.06200457,0.04600024,1.34791825
8,0.05722070,0.05122685,1.11700588
9,0.06001759,0.05101180,1.17654317
10,0.05901289,0.04999995,1.18025892
11,0.05802226,0.05650949,1.02677012
12,0.06300521,0.04603958,1.36850091
13,0.06113052,0.04906559,1.24589399
14,0.05501151,0.05301237,1.03771082
15,0.05898571,0.05201173,1.13408479
16,0.06335044,0.05300164,1.19525427
17,0.06052637,0.05301237,1.14174050
18,0.05804110,0.04901123,1.18424074
19,0.05752277,0.05001235,1.15017138
20,0.05801511,0.05000210,1.16025348
21,0.05701280,0.04532170,1.25795795
22,0.06301403,0.04901099,1.28571220
23,0.05901265,0.04812813,1.22615721
24,0.05901337,0.05101252,1.15684093
25,0.05901957,0.06024837,0.97960427
26,0.05953956,0.05000138,1.19075820
27,0.05601215,0.04701161,1.19145354
28,0.05802226,0.05502224,1.05452379
29,0.05501103,0.04700112,1.17041956
30,0.05818582,0.05101109,1.14065041
